Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Due to linter limitations, manual review is required to ensure ENV instructions are used effectively for setting version numbers, and that any ENV variable set is properly unset in the same layer if needed, to avoid leaving sensitive information in intermediate layers.",Use ENV to set the PATH environment variable and other necessary environment variables for your application. Ensure sensitive environment variables are unset in the same layer they are used to avoid leaking information in intermediate layers. Consider using a single ENV instruction for setting multiple variables to reduce layers.,Global Check: Manual Review
MEDIUM,1,BP29F91BA8,Rebuild your images often,"Due to the linter's limitations, it cannot verify if images are being rebuilt often or if the --no-cache option is used during builds. This requires understanding of the build context, frequency, and external tooling or CI/CD processes.",Ensure to rebuild Docker images frequently to incorporate updated dependencies and security patches. Avoid using the cache during builds by specifying the --no-cache option in your build command to ensure all layers are freshly pulled and built. Consider pinning your base images to specific versions to ensure consistency and reliability in your builds.,Global Check: Manual Review
HIGH,1,BP2AA02452,Create ephemeral containers,"Evaluating the ephemerality of a container requires understanding the application architecture, including how data is managed and whether state is stored externally. This cannot be determined from a single Dockerfile instruction or without context of the application's overall design.",Ensure your container does not store state internally and can be easily replaced by rebuilding the image. Use volumes for persistent data and environment variables for configuration. Review the Twelve-factor App methodology for guidance on designing stateless applications.,Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Requires manual review to ensure the base image is from a trusted source, is minimal for the application's needs, and does not include unnecessary build tools for production.","Avoid using the ':latest' tag for base images to ensure reproducibility. Consider using a minimal base image like 'alpine' for smaller, more secure deployments. Ensure the base image is from a trusted source. For production, use a base image without unnecessary build tools.",Global Check: Manual Review
LOW,1,BP496813AA,Sort multi-line arguments,"Due to the linter's inability to understand context across multiple lines or instructions, verifying the alphabetical sorting of multi-line arguments in instructions like RUN requires manual review.","Ensure that multi-line arguments, especially package lists in RUN instructions, are sorted alphanumerically. This facilitates easier maintenance and review. Additionally, include a space before backslashes for better readability.",Global Check: Manual Review
INFO,1,BP4F995E92,ADD or COPY,"Due to the linter's limitations, it cannot verify if COPY is used instead of ADD when simply copying files from the build context without needing the additional features of ADD. This requires manual review.",Prefer using COPY for copying local files in the build context. Use ADD for remote URLs and auto-extracting tar files. Review the use of COPY and ADD to ensure they are used appropriately according to their functionalities.,Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Manual review is required to ensure that reusable stages are created for components shared across multiple images, which cannot be automatically detected by a simple line-by-line linter.",Review your Dockerfile to identify common components across multiple images. Create a base stage with these components and use it as a foundation for other images to improve efficiency and maintainability.,Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,"Manual review required to ensure USER is not switched back and forth frequently, which can increase layers and complexity.","Ensure your Dockerfile includes a USER instruction to switch to a non-root user. Avoid using 'sudo' due to its unpredictable behavior. If necessary, use 'gosu' for privilege escalation. Avoid frequent switching of USER to reduce complexity.",Global Check: Manual Review
HIGH,1,BP9F076259,Leverage build cache,"Due to the linter's inability to understand instruction order or context across multiple lines, evaluating the effective use of the Docker build cache requires manual review. This includes assessing if instructions that change often are placed towards the end of the Dockerfile to maximize cache utilization.","Review Dockerfile to ensure instructions that change frequently are placed towards the end, and static instructions are at the beginning. This maximizes the use of Docker's build cache, speeding up build times.",Global Check: Manual Review
HIGH,1,BPAD173E04,RUN,"Due to the linter's limitations, it cannot verify if RUN instructions that use pipe (|) operators are preceded by 'set -o pipefail &&' to ensure the build fails on any command error. This requires manual review.",Ensure RUN instructions that perform complex operations are split across multiple lines using backslashes for better readability. Always combine apt-get update with apt-get install in the same RUN statement to avoid caching issues. Use --no-install-recommends with apt-get install to minimize the image size. Manually review the use of pipe (|) operators in RUN instructions to ensure they are preceded by 'set -o pipefail &&' for error handling.,Global Check: Manual Review
