Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Manual review required to ensure ENV instructions are used efficiently and do not create unnecessary layers, especially for setting and unsetting variables within the same Dockerfile.","Use ENV to set the PATH and other environment variables needed for your container. Avoid creating unnecessary layers by combining ENV instructions where possible. For setting and unsetting variables within the same layer, consider using a RUN command with shell commands.",Global Check: Manual Review
HIGH,1,BP08E4DA4E,CMD,"Manual review is required to ensure CMD is used appropriately with ENTRYPOINT if both are present, and to verify the CMD instruction provides a useful, interactive shell if intended for direct execution.","Ensure CMD is used in the exec form, such as CMD [""executable"", ""param1"", ""param2""], and that there is only one CMD instruction within the Dockerfile. If CMD is used with ENTRYPOINT, ensure their usage is clear and intended. For interactive shells, verify that CMD provides a useful environment.",Global Check: Manual Review
MEDIUM,1,BP29F91BA8,Rebuild your images often,"Requires manual review to ensure images are rebuilt often with updated dependencies, potentially using automation or scheduled builds in CI/CD pipelines.",Regularly rebuild your Docker images to include the latest dependencies and security patches. Consider automating this process through your CI/CD pipeline. Use the --no-cache option with docker build to ensure you're using the most up-to-date versions of base images and dependencies. Pin specific versions of base images to avoid unexpected changes.,Global Check: Manual Review
MEDIUM,1,BP29F91BA8,Rebuild your images often,Requires manual review to verify the use of the --no-cache option during builds to ensure the latest versions of dependencies are used.,Regularly rebuild your Docker images to include the latest dependencies and security patches. Consider automating this process through your CI/CD pipeline. Use the --no-cache option with docker build to ensure you're using the most up-to-date versions of base images and dependencies. Pin specific versions of base images to avoid unexpected changes.,Global Check: Manual Review
HIGH,1,BP2AA02452,Create ephemeral containers,"Assessing the ephemerality of a container requires understanding the application architecture, how data is managed and stored, and whether the container relies on external state or configurations that would prevent it from being easily replaced. This goes beyond simple line-by-line checks and requires a holistic view of the Dockerfile in the context of the application it supports.","Ensure that your containers are designed to be ephemeral by avoiding storing state inside containers, using volumes for persistent data, and minimizing the configuration required at runtime. Containers should be able to be stopped, destroyed, and replaced without loss of data or significant setup.",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Due to the linter's limitations, it cannot verify if the chosen base image is built from a trusted source, matches the minimal requirements for the project, or if it's part of a trusted program. This requires manual review.",Ensure the base image is minimal and appropriate for the project's needs. Avoid using the 'latest' tag. Pin the image to a specific version using a digest. Review the Dockerfile manually to confirm the base image is from a trusted source and that a smaller image is used for production.,Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"The linter cannot determine if a smaller, more appropriate image for production is used in multi-stage builds, as this requires understanding of the application's architecture and the Dockerfile's structure.",Ensure the base image is minimal and appropriate for the project's needs. Avoid using the 'latest' tag. Pin the image to a specific version using a digest. Review the Dockerfile manually to confirm the base image is from a trusted source and that a smaller image is used for production.,Global Check: Manual Review
LOW,1,BP496813AA,Sort multi-line arguments,"Due to the line-by-line reading limitation and inability to parse Dockerfile structure or understand context across multiple lines, checking for sorted multi-line arguments alphanumerically requires manual review.","Ensure multi-line arguments, such as package lists in a RUN instruction, are sorted alphanumerically. This facilitates easier maintenance and review. Also, consider adding a space before backslashes for better readability.",Global Check: Manual Review
MEDIUM,1,BP4C08BC02,ONBUILD,Manual review is required to ensure that ONBUILD instructions are used appropriately for the intended child image builds and that they do not introduce dependency or context issues.,Ensure ONBUILD instructions are used judiciously and only when necessary for building derived images. Avoid using ADD or COPY within ONBUILD to prevent build failures due to missing context. Consider adding a separate tag for images built with ONBUILD to facilitate clear choice for Dockerfile authors.,Global Check: Manual Review
INFO,1,BP4F995E92,ADD or COPY,"Determining the appropriate use of ADD or COPY requires understanding the specific needs of the build context, such as whether remote files need to be downloaded or tar files need to be extracted. Additionally, the decision to use bind mounts over COPY for temporary file inclusion during build requires manual review of the build context and Dockerfile structure.",Prefer using COPY for copying local files and directories. Use ADD only when you need to fetch files from remote URLs or automatically extract tar files.,Global Check: Manual Review
INFO,1,BP4FB971F0,EXPOSE,"Due to the linter's limitations, it cannot verify if the exposed port matches the application's traditional port beyond the common ones specified. Manual review is required to ensure the EXPOSE instruction matches the application's needs.","Ensure the EXPOSE instruction specifies the common, traditional port for your application. If your application uses a port different from common ones (80, 443, 27017), verify manually that the correct port is exposed.",Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Manual review is required to ensure that reusable stages are created for shared components among multiple images, which cannot be automatically detected by simple line-by-line analysis.","Consider organizing your Dockerfile to include a base stage with shared components. Then, use this base stage as a starting point for other stages to avoid duplication and improve efficiency.",Global Check: Manual Review
INFO,1,BP64B8A7E2,LABEL,"Due to the linter's limitations, it cannot verify if multiple LABEL instructions could be combined into a single instruction for optimization or if the labels follow specific organizational guidelines.","Ensure each LABEL instruction is correctly formatted with key-value pairs. Strings with spaces should be quoted, and inner quote characters must be escaped. Consider combining multiple LABEL instructions into a single instruction to optimize readability and maintainability. Follow organizational guidelines for label keys and values.",Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,"Manual review is required to ensure that USER instruction does not frequently switch back and forth between users, as this can increase layers and complexity.","Ensure that your Dockerfile specifies a non-root user for running the service by using the USER instruction. Avoid using 'sudo' due to its unpredictable behavior. If necessary, use 'gosu' for operations requiring initial root access. Do not frequently switch users with the USER instruction to keep the Dockerfile simple and reduce layers.",Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,Manual review is needed to verify that a non-root user is created and used properly before switching to it with the USER instruction.,"Ensure that your Dockerfile specifies a non-root user for running the service by using the USER instruction. Avoid using 'sudo' due to its unpredictable behavior. If necessary, use 'gosu' for operations requiring initial root access. Do not frequently switch users with the USER instruction to keep the Dockerfile simple and reduce layers.",Global Check: Manual Review
HIGH,1,BP844BB562,Use multi-stage builds,"Due to the linter's limitations, it cannot verify if the multi-stage builds are properly utilized for efficient layer caching and minimizing the final image size. This requires a manual review of the Dockerfile to ensure that artifacts are correctly being copied from one stage to another without unnecessary layers or files being included in the final image.","Split your Dockerfile into multiple stages by using multiple FROM instructions. Each stage can use a different base image or the same one for different purposes (e.g., build and runtime). Ensure that only the necessary artifacts are copied over to the final stage to minimize the image size.",Global Check: Manual Review
HIGH,1,BP8E7F00CF,FROM,"Due to the linter's limitations, it cannot verify if an image is an official Docker image or assess the full context of image selection. Manual review is required to ensure the use of current official images as recommended.","Use an official, version-pinned Alpine image as the base for your Dockerfile to minimize size and maintain security. Avoid using the 'latest' tag to ensure predictable builds.",Global Check: Manual Review
HIGH,1,BP9F076259,Leverage build cache,Optimizing for Docker build cache requires understanding the order of instructions and their impact on cache invalidation. This cannot be assessed with simple line-by-line checks.,"Review Dockerfile instructions to ensure that those less likely to change are placed before those more likely to change. This optimizes the use of Docker's build cache, potentially speeding up builds.",Global Check: Manual Review
MEDIUM,1,BPAD173E04,RUN,"Due to the linter's limitations, it cannot verify if here documents are used for running multiple commands without chaining them with a pipeline operator, nor can it assess the proper use of set -o pipefail in conjunction with piped commands. These require manual review.",Ensure complex RUN commands are split across multiple lines for readability. Combine apt-get update with apt-get install in the same RUN statement to avoid caching issues. Use --no-install-recommends with apt-get install to minimize the image size. Consider using 'set -o pipefail' for piped commands to catch errors effectively. Review the use of here documents and 'set -o pipefail' manually for correctness.,Global Check: Manual Review
HIGH,1,BPAEDF7F2F,Exclude with .dockerignore,File '.dockerignore' check failed: File does not exist (required but not found). Check if a .dockerignore file exists in the same directory as the Dockerfile.,"Create a .dockerignore file in the same directory as your Dockerfile to exclude files not relevant to the build. This can help in reducing the build context size and potentially the final image size, as well as avoiding the inclusion of sensitive files.",Global Check: File '.dockerignore'
MEDIUM,1,BPAF7FDF55,Don't install unnecessary packages,Determining whether a package is unnecessary requires understanding the application's architecture and the purpose of the image. This context cannot be inferred from a single line or without knowledge of the intended use case.,Review the list of packages being installed and remove any that are not directly required for your application or service to run. Consider documenting the reason for each package's inclusion to facilitate future maintenance.,Global Check: Manual Review
HIGH,1,BPD5DA0774,Build and test your images in CI,This check requires verifying if CI/CD pipelines like GitHub Actions are configured to build and test Docker images upon code commits or pull requests. Such verification cannot be automated through simple line-by-line Dockerfile analysis and requires manual review of the CI/CD pipeline configuration.,"Ensure your CI/CD pipeline (e.g., GitHub Actions) is configured to automatically build and test your Docker images whenever a change is made to source control or a pull request is created. This may involve reviewing and updating your CI/CD pipeline configuration files.",Global Check: Manual Review
