Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Manual review is required to ensure that ENV instructions are used efficiently and do not lead to unnecessary intermediate layers, especially when setting and unsetting variables within the same Dockerfile.","Use ENV to set environment variables and update the PATH to facilitate software execution. Avoid creating unnecessary layers by combining ENV instructions where possible. For setting and unsetting environment variables within the same layer, consider using a RUN instruction with shell commands.",Global Check: Manual Review
INFO,1,BP29F91BA8,Rebuild your images often,"Due to the linter's limitations, it cannot verify if images are being rebuilt often or if the --no-cache option is used during builds. This requires understanding of the build process and context beyond what is specified in the Dockerfile.","Ensure to rebuild your Docker images frequently to incorporate updated dependencies and base images. Consider using the --no-cache option during builds to avoid using cached layers and ensure a fresh download of dependencies and base images. Additionally, consider pinning your base image to a specific version to avoid unexpected changes.",Global Check: Manual Review
MEDIUM,1,BP2AA02452,Create ephemeral containers,"This check requires manual review to ensure that the Dockerfile instructions do not create unnecessary dependencies or stateful components within the container, which would make it less ephemeral. For example, avoiding instructions that write data to the container filesystem in a way that is expected to persist across container restarts.","Ensure your Dockerfile creates containers that can be easily stopped, destroyed, and replaced, minimizing setup and configuration. Avoid writing data to the container's filesystem that needs to persist across restarts, and instead use external data stores or services for any stateful components.",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,Manual review required to ensure the base image is from a trusted source and is minimal for the application's requirements.,"Avoid using the 'latest' tag for base images to ensure reproducibility. Consider using a minimal base image like 'scratch' or a specific version of an official image that suits your application's needs. Review your Dockerfile to ensure you're using a trusted and minimal base image for both development/build stages and a separate, slimmer image for production. Consider multi-stage builds to minimize the final image size.",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Manual review required to verify if a multi-stage build is used, with a minimal image for the final stage.","Avoid using the 'latest' tag for base images to ensure reproducibility. Consider using a minimal base image like 'scratch' or a specific version of an official image that suits your application's needs. Review your Dockerfile to ensure you're using a trusted and minimal base image for both development/build stages and a separate, slimmer image for production. Consider multi-stage builds to minimize the final image size.",Global Check: Manual Review
MEDIUM,1,BP496813AA,Sort multi-line arguments,"Due to the linter's limitations in understanding context across multiple lines and the complexity of verifying alphanumeric sorting of multi-line arguments, this check requires manual review.","Ensure that multi-line arguments, such as package lists in a RUN instruction, are sorted alphanumerically. This facilitates easier maintenance and review. Additionally, include a space before a backslash (\) at the end of each line for better readability.",Global Check: Manual Review
MEDIUM,1,BP4C08BC02,ONBUILD,"Manual review is required to ensure that images built with ONBUILD instructions have a separate tag, such as ruby:1.9-onbuild or ruby:2.0-onbuild, to mitigate potential build context issues and to follow best practices.",Avoid using ADD or COPY instructions directly in ONBUILD to prevent build failures due to missing resources. Consider adding a separate tag for images built with ONBUILD instructions to facilitate better version control and mitigate potential issues.,Global Check: Manual Review
MEDIUM,1,BP4F995E92,ADD or COPY,"Determining if COPY is used appropriately for copying files from one stage to another in a multi-stage build requires understanding the Dockerfile's structure and context, which is beyond this linter's capabilities.",Prefer using COPY for copying local files. Use ADD only for its unique features like adding files from remote URLs and auto-extracting tar files.,Global Check: Manual Review
INFO,1,BP4FB971F0,EXPOSE,"Due to the linter's limitations, it cannot verify if the exposed port matches the common, traditional port for the specific application being containerized. This requires manual review.","Ensure you are using the EXPOSE instruction to indicate the common, traditional port for your application. For example, use EXPOSE 80 for Apache web server images, and EXPOSE 27017 for MongoDB images. This facilitates easier understanding and management of container networking.",Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Manual review is required to ensure that reusable stages are created for components shared across multiple images, as this cannot be determined by simple line-by-line analysis or without understanding the context of the Dockerfile's structure and the relationship between stages.","Consider organizing your Dockerfile to include a base stage that contains components shared across multiple images. Then, use this base stage as a starting point for other stages to avoid duplication and improve efficiency.",Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,Manual review is required to ensure that a non-root user is created and used correctly without frequent switching back and forth between users.,"Ensure that your Dockerfile specifies a non-root user for running the service by using the USER instruction. Avoid using 'sudo' due to its unpredictable behavior. If necessary, consider alternatives like 'gosu' for privilege escalation. Also, avoid frequently switching users to reduce complexity and potential security risks.",Global Check: Manual Review
HIGH,1,BP844BB562,Use multi-stage builds,"Manual review is required to ensure that each stage in a multi-stage build is used effectively, with unnecessary files not being copied to the final image.","Split your Dockerfile into multiple stages by using multiple FROM instructions. Each stage can use a different base image, or the same one with different build contexts. Ensure that only the necessary artifacts are moved to the final stage to keep the image size small.",Global Check: Manual Review
