Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Manual review is required to ensure ENV instructions are used effectively for setting version numbers, and to verify that environment variables are unset in a single layer using RUN commands to avoid persisting unwanted values.","Use ENV to set the PATH environment variable and other necessary environment variables for your application. Consider consolidating ENV instructions to reduce layers when possible. For version numbers, use ENV to make updates easier. To unset an environment variable, use a RUN command with shell commands to set, use, and unset the variable in a single layer for better security and efficiency.",Global Check: Manual Review
HIGH,1,BP08E4DA4E,CMD,"Manual review is required to ensure CMD is used in the correct form for service-based images or for providing an interactive shell, and not just parameters without ENTRYPOINT unless specifically intended.","Ensure CMD is used in the exec form, such as CMD [""executable"", ""param1"", ""param2""], especially for service-based images or to provide an interactive shell. There should only be one CMD instruction in the Dockerfile. Review Dockerfile reference for CMD instruction for more details.",Global Check: Manual Review
MEDIUM,1,BP29F91BA8,Rebuild your images often,"Checking for frequent rebuilds or the use of --no-cache options requires understanding of the build context and potentially external CI/CD configurations, which cannot be determined from a single line or without understanding the Dockerfile's build history.","Ensure to rebuild your Docker images frequently to incorporate updated dependencies and base images. Consider using the --no-cache option during builds to avoid using outdated layers. Additionally, pin your base images to specific versions to ensure consistency and reliability in your builds.",Global Check: Manual Review
HIGH,1,BP2AA02452,Create ephemeral containers,"Evaluating the ephemerality of a container requires understanding the application architecture, how data is managed, and if state is externalized. This cannot be determined by simple line-by-line analysis or without context of how the container is used in production.","Ensure that your container does not store state internally and can be easily replaced by rebuilding the image. Externalize state (e.g., databases, queues) and configuration (e.g., environment variables, config files outside the container).",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Due to the linter's limitations, it cannot verify if the chosen base image is minimal for the application's requirements, nor can it confirm the image's source is trusted. This requires manual review of the base image against the project's needs and security best practices.","Ensure your Dockerfile's FROM instruction specifies a minimal, trusted base image appropriate for your application's needs. Avoid using the 'latest' tag where possible, and consider pinning the image to a specific digest for more reliable and secure builds. Review your base image choice manually to confirm it's minimal and from a trusted source.",Global Check: Manual Review
LOW,1,BP496813AA,Sort multi-line arguments,"Due to the linter's inability to parse Dockerfile structure or understand context across multiple lines, checking for sorted multi-line arguments in instructions like RUN requires manual review. This includes verifying alphabetical order and the presence of a space before backslashes in multi-line commands.","Ensure that multi-line arguments, especially in RUN instructions for installing packages, are sorted alphanumerically. This practice aids in maintenance and readability. Additionally, include a space before backslashes for line continuation.",Global Check: Manual Review
MEDIUM,1,BP4C08BC02,ONBUILD,Requires manual review to ensure ONBUILD instructions are used appropriately for the intended child image builds and to verify that images built with ONBUILD have a separate tag to mitigate potential build context issues.,Avoid using ADD or COPY within ONBUILD instructions due to potential build context issues. Consider adding a separate tag for images built with ONBUILD to allow Dockerfile authors to make informed choices.,Global Check: Manual Review
MEDIUM,1,BP4F995E92,ADD or COPY,"Due to the linter's limitations, it cannot verify if COPY is used appropriately for copying files from one stage to another in a multi-stage build or if bind mounts are used instead of COPY for temporary file inclusion during build. Manual review is required to ensure best practices for file copying are followed.",Prefer using COPY for copying local files and directories into the container. Use ADD only when you need to fetch files from remote URLs or automatically extract tar files.,Global Check: Manual Review
INFO,1,BP4FB971F0,EXPOSE,"Manual review is required to ensure the EXPOSE instruction uses the appropriate port for the application if it's not one of the common ports (80, 443, 27017).","Ensure the EXPOSE instruction specifies the common, traditional port for your application. If your application uses a port different from common ones (80, 443, 27017), verify it's the correct port for your application's needs.",Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Due to the linter's limitations, it cannot verify if a common stage is effectively used by other stages or if there's significant repetition across stages. This requires manual review to ensure stages are reused efficiently and DRY principles are applied.",Identify common components or setup procedures across multiple Docker images. Create a base stage with these commonalities and use this as a foundation for other images by referencing it in subsequent FROM instructions as stages.,Global Check: Manual Review
INFO,1,BP64B8A7E2,LABEL,"Due to linter limitations, manual review is required to ensure that strings with spaces are properly quoted or escaped, and inner quote characters (\"") are also escaped as needed.","Ensure each LABEL instruction uses a properly formatted key-value pair. Strings with spaces should be quoted or escaped, and inner quote characters (\"") must be escaped. Consider combining labels into a single instruction if it improves readability and maintainability of your Dockerfile.",Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,Manual review required to verify if USER instruction switches to a non-root user and not frequently switched back and forth.,"Ensure your Dockerfile includes a USER instruction to switch to a non-root user. Avoid using 'sudo' within your Dockerfile. If necessary, consider alternatives like 'gosu' for privilege escalation. Minimize the use of switching users to reduce complexity.",Global Check: Manual Review
HIGH,1,BP844BB562,Use multi-stage builds,"Due to the linter's limitations, it cannot verify if the multi-stage builds are properly utilized to separate the build stage from the final output stage, nor can it check if build steps are executed in parallel. This requires manual review.","Split your Dockerfile into multiple stages using multiple FROM instructions. Ensure that each stage is focused on a specific part of the build process, and use COPY --from= to transfer only the necessary artifacts between stages.",Global Check: Manual Review
HIGH,1,BP8E7F00CF,FROM,"Due to linter limitations, manual review is required to ensure the base image is an official, up-to-date, and minimal image as recommended by Docker, beyond just using Alpine.","Prefer using the Alpine image for its small size and security benefits. Avoid using the 'latest' tag to ensure your builds are predictable and reproducible. For non-Alpine images, manually verify they are official and minimal for your needs.",Global Check: Manual Review
HIGH,1,BP9F076259,Leverage build cache,"Due to the linter's inability to understand Dockerfile structure, instruction order, or context across multiple lines, assessing the effective use of the build cache requires manual review. This includes evaluating if instructions that change often are placed towards the end of the Dockerfile to maximize cache reuse for earlier layers.","Review Dockerfile to ensure instructions that change less frequently are placed at the beginning, and those that change more frequently towards the end, to leverage Docker's build cache effectively. For instance, placing `COPY . /app` before installing dependencies via `RUN pip install -r requirements.txt` can invalidate the cache unnecessarily for subsequent builds when source code changes.",Global Check: Manual Review
MEDIUM,1,BPAD173E04,RUN,"Requires manual review to ensure complex RUN instructions are properly split into multiple lines for readability, and to verify the use of here documents for running multiple commands without chaining them with &&.",Ensure complex RUN instructions are split across multiple lines using backslashes. Combine apt-get update with apt-get install in the same RUN statement and use --no-install-recommends with apt-get install. Consider manual review for complex scenarios not covered by automated checks.,Global Check: Manual Review
MEDIUM,1,BPAD173E04,RUN,Requires manual review to ensure that version pinning is used for package installation to avoid unexpected changes.,Ensure complex RUN instructions are split across multiple lines using backslashes. Combine apt-get update with apt-get install in the same RUN statement and use --no-install-recommends with apt-get install. Consider manual review for complex scenarios not covered by automated checks.,Global Check: Manual Review
MEDIUM,1,BPAD173E04,RUN,Requires manual review to ensure that the apt cache is cleaned up by removing /var/lib/apt/lists to reduce the image size.,Ensure complex RUN instructions are split across multiple lines using backslashes. Combine apt-get update with apt-get install in the same RUN statement and use --no-install-recommends with apt-get install. Consider manual review for complex scenarios not covered by automated checks.,Global Check: Manual Review
