Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
HIGH,1,BP844BB562,Use multi-stage builds,"Manual Check Required: Determining if the multi-stage builds are used efficiently requires understanding the context across multiple instructions and stages, which is beyond simple line-by-line checks.",Split your Dockerfile into multiple stages by using multiple FROM instructions. Ensure that each stage is focused on a specific part of the build process and that the final stage contains only what is necessary to run the application.,Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Manual Check Required: Detecting reusable stages requires understanding the Dockerfile's structure and the relationship between stages, which cannot be achieved with simple line-by-line checks. This needs to be manually reviewed to ensure stages are reused efficiently where possible.",Review your Dockerfile to identify common components across multiple images. Create a base stage for these components and use it as the foundation for other stages to improve efficiency and maintainability.,Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,Disallowed pattern found: Using 'latest' tag for base image.,"Ensure the base image is minimal and appropriate for the project's needs, avoiding 'latest' tags. Verify the source is trusted and consider different base images for development and production stages.",FROM ubuntu:latest
INFO,1,BP29F91BA8,Rebuild your images often,Manual Check Required: Checking for frequent rebuilds of images requires understanding of external build processes and cannot be determined from the Dockerfile alone.,Ensure your Docker images are rebuilt frequently to incorporate updated dependencies and base images. Use the --no-cache option during builds to avoid using outdated layers. Consider automating this process as part of your CI/CD pipeline.,Global Check: Manual Review
HIGH,1,BPAEDF7F2F,Exclude with .dockerignore,File '.dockerignore' check failed: File does not exist. Check if a .dockerignore file exists in the same directory as the Dockerfile.,"Ensure a .dockerignore file exists in your project to exclude unnecessary files from the Docker context, improving build performance and reducing image size.",Global Check: File '.dockerignore'
HIGH,1,BP2AA02452,Create ephemeral containers,"Manual Check Required: Assessing the ephemerality of a container requires understanding of the application architecture, how data is managed, and if state is externalized, which cannot be determined from Dockerfile instructions alone.","Design your containers to be stateless: externalize data storage, use environment variables for configuration, and ensure containers can be easily replaced. Review application architecture to ensure it supports these principles.",Global Check: Manual Review
MEDIUM,1,BPAF7FDF55,Don't install unnecessary packages,"Manual Check Required: Determining whether a package is unnecessary requires understanding the context and purpose of the image, which cannot be automated without sophisticated analysis beyond simple line-by-line checks.",Review the list of packages being installed and remove any that are not necessary for running the application or service in the container.,Global Check: Manual Review
HIGH,1,BPFE9F359F,Decouple applications,Manual Check Required: Determining if a Dockerfile represents a single concern or is decoupled requires understanding the application architecture and cannot be determined by simple line-by-line analysis.,"Ensure each container focuses on a single concern to facilitate scalability and reusability. For complex applications, consider splitting functionalities into separate containers.",Global Check: Manual Review
MEDIUM,1,BP496813AA,Sort multi-line arguments,"Manual Check Required: Due to the linter's line-by-line operation and inability to parse Dockerfile structure or understand context across multiple unrelated instructions, checking for sorted multi-line arguments alphanumerically requires manual review.","Ensure that multi-line arguments, such as package lists in RUN instructions, are sorted alphanumerically. This facilitates easier maintenance and review. Additionally, include a space before backslashes for better readability.",Global Check: Manual Review
HIGH,1,BP9F076259,Leverage build cache,"Manual Check Required: Optimizing for Docker build cache requires understanding of specific instruction order and cache invalidation principles, which cannot be automatically checked line-by-line.","Ensure instructions are ordered to maximize cache reuse. Avoid using ADD for local files, prefer COPY. Combine 'apt-get update' with 'apt-get install' in a single RUN instruction to prevent cache busting. For more complex cache optimization strategies, review must be manual.",Global Check: Manual Review
HIGH,1,BPB8CA77FB,Pin base image versions,Required pattern not found: Check if the FROM instruction specifies an image pinned by digest.,"Ensure that the base image in the FROM instruction is pinned to a specific digest to guarantee reproducibility and supply chain integrity. If a tag is used, consider replacing it with a digest. For example, use 'alpine@sha256:12345...' instead of 'alpine:latest' or 'alpine:3.12'.",FROM ubuntu:latest
HIGH,1,BPD5DA0774,Build and test your images in CI,"Manual Check Required: This check requires verifying if CI/CD pipelines like GitHub Actions are configured to build and test Docker images upon source control events, which cannot be determined from the Dockerfile alone.","Ensure your project's CI/CD pipeline is configured to automatically build, tag, and test your Docker images on source control changes or pull request creations.",Global Check: Manual Review
HIGH,1,BP8E7F00CF,FROM,Required pattern not found: Check if the Dockerfile is using Alpine as a base image.,Use Alpine image as the base image when possible for its small size and security benefits. Avoid using the 'latest' tag to ensure your builds are predictable and consistent.,FROM ubuntu:latest
LOW,1,BP64B8A7E2,LABEL,Required pattern not found: Checks for LABEL instructions with properly quoted key-value pairs.,Ensure that each LABEL instruction uses properly quoted key-value pairs. Combine multiple labels into a single instruction where possible to reduce layers. Avoid unescaped inner quote characters in labels.,FROM ubuntu:latest
HIGH,1,BPAD173E04,RUN,Required pattern not found: RUN command split across multiple lines using backslashes.,"Ensure RUN instructions are readable and maintainable by splitting long commands across multiple lines, combining apt-get update and install in the same RUN statement, avoiding the use of || which can ignore errors, and using set -o pipefail to catch errors in pipes.",FROM ubuntu:latest
HIGH,1,BP08E4DA4E,CMD,"Manual Check Required: Determining the correct use of CMD in conjunction with ENTRYPOINT requires understanding the intended interaction between them, which is beyond simple line-by-line analysis.","Ensure CMD is used correctly: for service-based images, use the form CMD [""executable"", ""param1"", ""param2""...], and for interactive shells, use CMD [""shell""]. Avoid using CMD in the form of CMD [""param"", ""param""] unless familiar with ENTRYPOINT.",Global Check: Manual Review
INFO,1,BP4FB971F0,EXPOSE,Required pattern not found: Checks if there is at least one EXPOSE instruction with a numeric port.,"Ensure you are using the EXPOSE instruction to indicate the port your application listens on. Use the common, traditional port for your application. For example, use 'EXPOSE 80' for Apache web server images.",FROM ubuntu:latest
MEDIUM,1,BP086BFB42,ENV,Required pattern not found: Check for the presence of ENV instruction updating the PATH environment variable.,"Use ENV to set the PATH and other environment variables needed for your container. Consider consolidating ENV instructions where possible to reduce layers. For version management, use ENV to define version numbers, making updates easier. Ensure any environment variables set with ENV that need to be unset are handled correctly in a RUN instruction to avoid leaving unwanted values in layers.",FROM ubuntu:latest
INFO,1,BP4F995E92,ADD or COPY,Required pattern not found: ADD instruction is used for downloading remote files.,Prefer using COPY for copying files from the build context or another stage in a multi-stage build. Use ADD for remote files or automatic tar extraction. Consider using bind mounts for temporary file inclusion during build.,FROM ubuntu:latest
HIGH,1,BPFAEF57A2,ENTRYPOINT,"ENTRYPOINT count is 0. Violation: Ensure at least one ENTRYPOINT is specified. (Condition: less_than 1, Violation if condition is True)",Ensure your Dockerfile includes an ENTRYPOINT instruction to define the container's main command. Use CMD to provide default flags. Consider using a helper script with ENTRYPOINT for complex setups.,Global Check: ENTRYPOINT Count
MEDIUM,1,BPDE4F1AAB,VOLUME,Required keyword(s) ('VOLUME') not found. Check if the VOLUME instruction is used at least once.,"Ensure that the VOLUME instruction is used to expose any database storage area, configuration storage, or files/folders created by your Docker container. Review the Dockerfile reference for the VOLUME instruction for best practices.",FROM ubuntu:latest
HIGH,1,BP6EB0C612,USER,Disallowed keyword(s) ('sudo') found. Check for the presence of 'sudo' which should be avoided.,"Ensure that your Dockerfile specifies a non-root user for running the service by using the USER instruction. Avoid using 'sudo' due to its unpredictable behavior in containers. If necessary, use 'gosu' for privilege escalation tasks. Do not frequently switch users with the USER instruction to keep the Dockerfile simple and reduce layers.",FROM ubuntu:latest
HIGH,1,BP9166D7E9,WORKDIR,Required pattern not found: Checks if WORKDIR uses an absolute path.,Use absolute paths when setting the WORKDIR. Replace RUN cd commands with WORKDIR instructions to improve readability and maintainability.,FROM ubuntu:latest
MEDIUM,1,BP4C08BC02,ONBUILD,Manual Check Required: Checking for appropriate tagging of images with ONBUILD instructions requires understanding of the image's intended use and cannot be automated.,Avoid using ADD or COPY in ONBUILD instructions due to the risk of catastrophic failure if the build context is missing the resource being added. Consider adding a separate tag for images built with ONBUILD to facilitate choice and mitigate potential issues.,Global Check: Manual Review
HIGH,2,BP2AA02452,Create ephemeral containers,"Required keyword(s) ('ENV', 'ARG') not found. Check for the use of ENV or ARG instructions to support configuration at runtime, which is a characteristic of ephemeral containers.","Design your containers to be stateless: externalize data storage, use environment variables for configuration, and ensure containers can be easily replaced. Review application architecture to ensure it supports these principles.",FROM python:3.9 AS builder
HIGH,2,BPB8CA77FB,Pin base image versions,Required pattern not found: Check if the FROM instruction specifies an image pinned by digest.,"Ensure that the base image in the FROM instruction is pinned to a specific digest to guarantee reproducibility and supply chain integrity. If a tag is used, consider replacing it with a digest. For example, use 'alpine@sha256:12345...' instead of 'alpine:latest' or 'alpine:3.12'.",FROM python:3.9 AS builder
