Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Due to the linter's limitations, it cannot verify if ENV instructions are used for setting version numbers for easier maintenance or if environment variables are unset in a single layer using RUN commands. Manual review is required to ensure best practices for using ENV instructions are followed.","Use ENV to update the PATH environment variable for installed software to ensure commands work without specifying full paths. Consider using ENV for setting environment variables specific to services and for managing version numbers to simplify updates. To unset an environment variable, use a RUN command with shell commands to set, use, and unset the variable in a single layer for cleaner image layers.",Global Check: Manual Review
INFO,1,BP29F91BA8,Rebuild your images often,"Due to the linter's limitations in understanding Docker build context, instruction order, and external information such as the frequency of image rebuilds or the use of specific build flags like --no-cache, this rule requires manual review to ensure images are rebuilt often and dependencies are up-to-date.",Manually ensure that your Docker images are rebuilt frequently to incorporate the latest versions of dependencies and base images. Consider using the --no-cache option during builds to avoid using cached layers and ensure a fresh download of dependencies and base images.,Global Check: Manual Review
HIGH,1,BP2AA02452,Create ephemeral containers,"Ensuring containers are ephemeral requires a comprehensive review of how the application and its dependencies are installed and managed within the container. This includes verifying that state is not stored within the container, but in external services or volumes, and that the container can be easily replaced without loss of data. This level of analysis cannot be achieved with simple line-by-line checks and requires understanding of the application architecture and Dockerfile practices as a whole.","Review your Dockerfile and application architecture to ensure that containers can be easily replaced without loss of data. Avoid storing state within containers, use external services or volumes for data persistence, and ensure that your container's setup and configuration are minimal and reproducible.",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Due to the linter's limitations, it cannot verify if the chosen base image is from a trusted source, nor can it determine if the image is part of a recognized program for security or quality. Manual review is required to ensure the base image meets the project's security and size requirements.","Choose a minimal base image that is appropriate for your project's needs, such as 'alpine' for a small, security-focused base, or 'scratch' for the most minimal setup. Avoid using the ':latest' tag to ensure your builds are predictable and stable. Always verify the source of your base image to ensure it is trusted and secure.",Global Check: Manual Review
LOW,1,BP496813AA,Sort multi-line arguments,"Due to the linter's inability to parse Dockerfile structure or understand context across multiple lines, checking for sorted multi-line arguments in instructions like RUN requires manual review. This is to ensure arguments are sorted alphanumerically and to verify the presence of a space before backslashes for line continuation.","Review the Dockerfile manually to ensure that multi-line arguments, especially in RUN instructions, are sorted alphanumerically. This includes checking for a space before backslashes used for line continuation.",Global Check: Manual Review
MEDIUM,1,BP4C08BC02,ONBUILD,"Review if ONBUILD instructions are used appropriately for the intended child images and ensure they do not introduce dependency issues. Also, verify that images built with ONBUILD have a separate tag to distinguish them from other variants.",Avoid using ADD or COPY instructions within ONBUILD to prevent build failures due to missing resources. Consider adding a separate tag for images built with ONBUILD instructions for clearer distinction and easier management.,Global Check: Manual Review
INFO,1,BP4F995E92,ADD or COPY,"Due to the linter's limitations, it cannot verify if ADD is used appropriately for remote files or tar extraction, and if COPY is used correctly for all other file copying needs. Manual review is required to ensure the correct use of ADD and COPY instructions based on their specific capabilities.",Prefer using COPY for copying local files and ADD for remote files or automatic tar extraction. Review the usage of ADD and COPY to ensure they are used appropriately according to their specific capabilities.,Global Check: Manual Review
INFO,1,BP4FB971F0,EXPOSE,"Due to the linter's limitations, it cannot verify if the exposed port matches the application's traditional port beyond the most common ones. Manual review is required to ensure the EXPOSE instruction uses the appropriate port for the application.","Ensure the EXPOSE instruction specifies the common, traditional port for your application. If your application uses a well-known port (e.g., 80 for HTTP, 443 for HTTPS, 27017 for MongoDB), verify it is correctly exposed. For less common applications, manually verify the correct port is exposed according to the application's documentation.",Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Due to the linter's limitations, it cannot verify if a common stage is defined and reused across multiple stages for shared components. This requires understanding the Dockerfile's structure and the context of how stages are used, which is beyond simple line-by-line analysis.",Define a base stage with shared components and use it as a foundation for other stages by referring to it with the FROM instruction. This approach optimizes build times and maintenance.,Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,"Instruction 'USER' count is 0, which violates the requirement (less than 1). Ensures at least one USER instruction exists to switch from root.",Ensure the Dockerfile contains at least one USER instruction to switch to a non-root user. Avoid using 'sudo' within RUN instructions. Consider manual review for complex user permission setups and the use of 'gosu' for daemons requiring initial root privileges.,Global Check: USER Count
HIGH,1,BP6EB0C612,USER,"Manual review required to verify if USER instructions switch back and forth frequently, which should be avoided to reduce layers and complexity.",Ensure the Dockerfile contains at least one USER instruction to switch to a non-root user. Avoid using 'sudo' within RUN instructions. Consider manual review for complex user permission setups and the use of 'gosu' for daemons requiring initial root privileges.,Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,"Manual review required to ensure that when a daemon needs to be initialized as root but run as non-root, alternatives to sudo such as 'gosu' are considered.",Ensure the Dockerfile contains at least one USER instruction to switch to a non-root user. Avoid using 'sudo' within RUN instructions. Consider manual review for complex user permission setups and the use of 'gosu' for daemons requiring initial root privileges.,Global Check: Manual Review
HIGH,1,BP8E7F00CF,FROM,"Due to the linter's limitations, it cannot verify if the image is the current official version or if it's an official image at all beyond the Alpine check. Manual review is required to ensure the image used is current and official.","Ensure the base image is the current official Alpine image to minimize size and maintain security. If not using Alpine, manually verify that the chosen base image is current and official.",Global Check: Manual Review
